hash_digest,name,table,release,elapsed_secs
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,block_assignment,2010,0:00:15.848551
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,block_assignment,2020,0:00:28.438135
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,H1,dec_pl94_compare_2020_2010,0:02:47.833571
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,P1,dec_pl94_compare_2020_2010,0:05:11.088253
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,P2,dec_pl94_compare_2020_2010,0:04:29.426849
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,P3,dec_pl94_compare_2020_2010,0:03:08.539043
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,P4,dec_pl94_compare_2020_2010,0:05:03.564298
04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,P5,dec2020_pl94,0:02:16.542248
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,block_assignment,2010,0:01:04.269056
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,block_assignment,2020,0:01:21.685431
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,H1,dec_pl94_compare_2020_2010,0:01:02.210537
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,P1,dec_pl94_compare_2020_2010,0:01:38.152581
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,P2,dec_pl94_compare_2020_2010,0:01:27.063563
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,P3,dec_pl94_compare_2020_2010,0:01:45.212646
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,P4,dec_pl94_compare_2020_2010,0:02:05.421864
12895e183b0c022d5a527c612ce72865,LA County Neighborhoods,P5,dec2020_pl94,0:00:54.503059
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",block_assignment,2010,0:00:09.380492
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",block_assignment,2020,0:00:12.974281
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",H1,dec_pl94_compare_2020_2010,0:00:21.391934
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",P1,dec_pl94_compare_2020_2010,0:00:33.432537
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",P2,dec_pl94_compare_2020_2010,0:00:32.188576
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",P3,dec_pl94_compare_2020_2010,0:00:40.377415
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",P4,dec_pl94_compare_2020_2010,0:00:28.041293
17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",P5,dec2020_pl94,0:00:11.416860
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",H1,dec_pl94_compare_2020_2010,0:00:42.098373
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",P1,dec_pl94_compare_2020_2010,0:00:35.349861
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",P2,dec_pl94_compare_2020_2010,0:00:56.278372
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",P3,dec_pl94_compare_2020_2010,0:01:06.838081
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",P4,dec_pl94_compare_2020_2010,0:00:46.404824
246e37d01ecf200aaf582dcbbd2ac007,"Seattle, WA Community Reporting Areas",P5,dec2020_pl94,0:00:27.262422
2a2f6da72c44ad7d6e9f27223f9c1888,"Portland, OR Neighborhood Boundaries",block_assignment,2010,0:00:10.340819
2a2f6da72c44ad7d6e9f27223f9c1888,"Portland, OR Neighborhood Boundaries",block_assignment,2020,0:00:10.856055
